school_name,boro,language_classes,neighborhood,building_code,location,phone_number,school_email
Frank McCourt High School,M,Spanish,Upper West Side,M470,"145 West 84th Street, Manhattan NY 10024(40.786134, -73.974483)",212-362-2015,info@fmhsnyc.org
Brooklyn Academy of Science and the Environment (BASE),K,Spanish,Crown Heights South,K440,"883 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",718-230-6363,jzelkow@schools.nyc.gov
Hudson High School of Learning Technologies,M,Spanish,Chelsea-Union Sq,M440,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",212-488-3330,info@hudsonhs.nyc
Scholars' Academy,Q,Spanish,Breezy Point-Rockaway Park,Q180,"320 Beach 104th Street, Rockaway Park NY 11694(40.584543, -73.825162)",718-474-6918,hsadmissions@scholarsnyc.com
Bronx Aerospace High School,X,Spanish,Williamsbridge-Olinville,X425,"800 East Gun Hill Road, Bronx NY 10467(40.875172, -73.861649)",718-696-6010,ehurtado@schools.nyc.gov
Queens High School for the Sciences at York College,Q,"Mandarin, Spanish",Jamaica,Q774,"94-50 159th Street, Jamaica NY 11433(40.700884, -73.798364)",718-657-3181,BWittstruck@schools.nyc.gov
The High School for Global Citizenship,K,"French, Spanish",Crown Heights South,K440,"883 Classon Avenue, Brooklyn NY 11225(40.669805, -73.960689)",718-230-6300,mgordon11@schools.nyc.gov
Academy for Health Careers,K,"French, Spanish",Crown Heights North,K625,"150 Albany Avenue, Brooklyn NY 11213(40.675905, -73.939282)",718-773-0128,dmartin8@schools.nyc.gov
Victory Collegiate High School,K,Spanish,Canarsie,K515,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",718-968-1530,welcome@victorycollegiate.org
Academy for Young Writers,K,Spanish,East New York,K422,"1065 Elton Street, Brooklyn NY 11208(40.657266, -73.874064)",718-688-7230,admissions@afyw.org
Millennium Brooklyn High School,K,"French, Spanish",Park Slope-Gowanus,K460,"237 7th Avenue, Brooklyn NY 11215(40.669255, -73.97858)",718-832-4333,lbaumgarten@schools.nyc.gov
Port Richmond High School,R,"Italian, Spanish",Port Richmond,R445,"85 St. Josephs Avenue, Staten Island NY 10302(40.635562, -74.141924)",718-420-2100,31R445@schools.nyc.gov
Frederick Douglass Academy VII High School,K,Spanish,Brownsville,K175,"226 Bristol Street, Brooklyn NY 11212(40.665568, -73.912102)",718-485-3789,msarmstrong@fda7.org
The Boerum Hill School for International Studies,K,French,DUMBO-Downtown Brooklyn,K293,"284 Baltic Street, Brooklyn NY 11201(40.685006, -73.993293)",718-330-9390,stu.chasabenis@k497.org
High School for Excellence and Innovation,M,Spanish,Inwood,M052,"650 Academy Street, Manhattan NY 10034(40.865556, -73.925464)",212-569-1022,hsei@hseigators.org
Essex Street Academy,M,"French, Spanish",Chinatown,M445,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",212-475-4773,meghan@essexstreetacademy.org
Mott Hall High School,M,Spanish,Central Harlem North,M136,"6 Edgecombe Avenue, Manhattan NY 10030(40.817228, -73.947151)",212-694-6020,GVillal@schools.nyc.gov
School of the Future High School,M,"Mandarin, Spanish",Gramercy,M660,"127 East 22nd Street, Manhattan NY 10010(40.739121, -73.985323)",212-475-8086,02M413@schools.nyc.gov
Esperanza Preparatory Academy,M,Spanish,East Harlem South,M117,"240 East 109th Street, Manhattan NY 10029(40.792556, -73.942285)",212-722-6507,wmerced2@schools.nyc.gov
International Community High School,X,"French, Spanish",Mott Haven-Port Morris,X139,"345 Brook Avenue, Bronx NY 10454(40.810314, -73.918774)",718-665-4128,enrollment@ichsbronx.org
Life Sciences Secondary School,M,Spanish,Yorkville,M645,"320 East 96th Street, Manhattan NY 10128(40.783286, -73.945933)",212-348-1694,cmarshal@schools.nyc.gov
Curtis High School,R,"French, Italian, Spanish",New Brighton-St. George,R450,"105 Hamilton Avenue, Staten Island NY 10301(40.645436, -74.082149)",718-390-1800,76R450@schools.nyc.gov
Academy for Conservation and the Environment,K,Spanish,Canarsie,K515,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",718-968-4101,emazzol@schools.nyc.gov
Abraham Lincoln High School,K,"Cantonese, Spanish",West Brighton,K410,"2800 Ocean Parkway, Brooklyn NY 11235(40.582627, -73.968733)",718-333-7400,admissions@alhs.nyc
High School for Violin and Dance,X,"French, Italian, Korean, Spanish",Morrisania-Melrose,X400,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",718-842-0687,jabramo2@schools.nyc.gov
The Facing History School,M,Spanish,Clinton,M535,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",212-757-2680,dana@facinghistoryschool.org
Westchester Square Academy,X,Spanish,Schuylerville-Throgs Neck,X405,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",718-904-5050,info@westchestersquare.org
N.Y.C. Lab School for Collaborative Studies,M,Spanish,Chelsea-Union Sq,M070,"333 West 17th Street, Manhattan NY 10011(40.742512, -74.002222)",212-691-6119,BJackso8@schools.nyc.gov
Park East High School,M,Spanish,East Harlem South,M495,"230 East 105th Street, Manhattan NY 10029(40.790191, -73.944092)",212-831-1517,medmonds@parkeasths.org
47 The American Sign Language and English Secondary School,M,American Sign Language,Gramercy,M047,"223 East 23rd Street, Manhattan NY 10010(40.738374, -73.981329)",917-326-6668,wshama@schools.nyc.gov
Alfred E. Smith Career and Technical Education High School,X,Spanish,Melrose S.-Mott Haven N.,X600,"333 East 151st Street, Bronx NY 10451(40.818645, -73.919949)",718-993-5000,Eschwar2@schools.nyc.gov
"Brooklyn Latin School, The",K,"Greek, Latin, Spanish",East Williamsburg,K049,"223 Graham Avenue, Brooklyn NY 11206(40.709765, -73.944463)",718-366-0154,parents@brooklynlatin.org
School for Excellence,X,Spanish,Morrisania-Melrose,X400,"1110 Boston Road, Bronx NY 10456(40.827455, -73.90392)",718-860-1385,12x404@schools.nyc.gov
A. Philip Randolph Campus High School,M,"French, Spanish",Manhattanville,M540,"443 West 135th Street, Manhattan NY 10031(40.8185, -73.949929)",212-690-6800,dfannin@schools.nyc.gov
Bayside High School,Q,"French, Japanese, Korean, Latin, Mandarin, Spanish",Bayside-Bayside Hills,Q405,"32-24 Corporal Kennedy Street, Bayside NY 11361(40.771398, -73.781041)",718-229-7600,info@baysidehighschool.org
Leadership and Public Service High School,M,Spanish,Lower Manhattan,M894,"90 Trinity Place, Manhattan NY 10006(40.708971, -74.012465)",212-346-0007,vcasey@leadershipnyc.org or info@leadershipnyc.org
High School for Energy and Technology,X,Spanish,Belmont,X660,"2474 Crotona Avenue, Bronx NY 10458(40.855392, -73.882487)",718-733-3080,enrollement@hsenergytech.org
Bronx Health Sciences High School,X,Spanish,Co-op City,X455,"750 Baychester Avenue, Bronx NY 10475(40.874035, -73.831669)",718-904-5450,mrivas@schools.nyc.gov
Kingsborough Early College School,K,Spanish,Gravesend,K400,"2630 Benson Avenue, Brooklyn NY 11214(40.593028, -73.986313)",718-333-7850,KHoffman3@schools.nyc.gov
The Urban Assembly School for Emergency Management,M,French,Chinatown,M520,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",212-225-0998,info@uasem.org
Academy for Environmental Leadership,K,"French, Spanish",Bushwick,K480,"400 Irving Avenue, Brooklyn NY 11237(40.696457, -73.911751)",718-381-7100,EBaptiste3@schools.nyc.gov
High School for Health Professions and Human Services,M,Spanish,Gramercy,M475,"345 East 15th Street, Manhattan NY 10003(40.732665, -73.98259)",212-780-9175,RGentil@schools.nyc.gov
Nelson Mandela High School,K,Spanish,Bedford-Stuyvesant,K455,"1700 Fulton Street, Brooklyn NY 11213(40.678478, -73.931604)",718-804-6805,mandelaschoolforsocialjustice@gmail.com
Robert F. Kennedy Community High School,Q,"Mandarin, Spanish",Kew Gardens Hills,Q707,"75-40 Parsons Boulevard, Fresh Meadows NY 11366(40.72528, -73.811408)",718-969-5510,ABarbet@schools.nyc.gov
Performing Arts and Technology High School,K,Spanish,East New York,K435,"400 Pennsylvania Avenue, Brooklyn NY 11207(40.666868, -73.895122)",718-688-7900,sthomas65@schools.nyc.gov
"Bronx School for Law, Government and Justice",X,Spanish,E. Concourse-Concourse Village,X460,"244 East 163rd Street, Bronx NY 10451(40.827461, -73.919024)",718-410-3430,JHernan13@schools.nyc.gov
Ralph R. McKee Career and Technical Education High School,R,Spanish,New Brighton-St. George,R600,"290 St. Marks Place, Staten Island NY 10301(40.64282, -74.079263)",718-420-2600,SHenry2@schools.nyc.gov
Academy for Language and Technology,X,Spanish,University Heights-Morris Heights,X082,"1700 Macombs Road, Bronx NY 10453(40.849416, -73.915217)",718-731-0219,CTorres51@schools.nyc.gov
Dr. Susan S. McKinney Secondary School of the Arts,K,Spanish,Fort Greene,K265,"101 Park Avenue, Brooklyn NY 11205(40.697177, -73.976104)",718-834-6760,13K265@schools.nyc.gov
University Neighborhood High School,M,"Mandarin, Spanish",Lower East Side,M446,"200 Monroe Street, Manhattan NY 10002(40.712269, -73.984128)",212-962-4341,dtsao@schools.nyc.gov
High School for Medical Professions,K,Spanish,Canarsie,K500,"1600 Rockaway Parkway, Brooklyn NY 11236(40.640543, -73.898601)",718-290-8700,MRuggiero3@schools.nyc.gov
Transit Tech Career and Technical Education High School,K,Spanish,East New York,K615,"1 Wells Street, Brooklyn NY 11208(40.67878, -73.875328)",718-647-5204,19K615@schools.nyc.gov
New Utrecht High School,K,"Italian, Mandarin, Spanish",Bensonhurst West,K445,"1601 80th Street, Brooklyn NY 11214(40.613041, -74.002308)",718-232-2500,MGoldfa3@schools.nyc.gov
Community School for Social Justice,X,Spanish,West Concourse,X884,"350 Gerard Avenue, Bronx NY 10451(40.815712, -73.92996)",718-402-8481,celestehill@cssjbronx.org & candidacocco@cssjbronx.org
International High School for Health Sciences,Q,English,Elmhurst,Q455,"48-01 90th Street, Elmhurst NY 11373(40.740824, -73.874129)",718-595-8600,cfinney2@schools.nyc.gov
Frederick Douglass Academy VI High School,Q,Spanish,Far Rockaway-Bayswater,Q465,"8-21 Bay 25th Street, Far Rockaway NY 11691(40.601537, -73.763995)",718-471-2154,cogundi@schools.nyc.gov
The Bronxwood Preparatory Academy,X,Spanish,Williamsbridge-Olinville,X362,"921 East 228th Street, Bronx NY 10466(40.888242, -73.852714)",718-696-3820,jgallar@schools.nyc.gov
Bronx Collegiate Academy,X,"American Sign Language, French, Spanish",E. Concourse-Concourse Village,X410,"240 East 172nd Street, Bronx NY 10457(40.839307, -73.911366)",718-410-4077,gadon@bxcollegiate.org
Urban Assembly Maker Academy,M,"American Sign Language, Spanish",Chinatown,M520,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",212-225-0890,info@uamaker.nyc
Wadleigh Secondary School for the Performing & Visual Arts,M,Spanish,Central Harlem South,M088,"215 West 114th Street, Manhattan NY 10026(40.80261, -73.954152)",212-749-5800,jdeliriano@schools.nyc.gov
Marble Hill High School for International Studies,X,"Chinese, Italian, Japanese, Spanish",Spuyten Duyvil-Kingsbridge,X475,"99 Terrace View Avenue, Bronx NY 10463(40.877379, -73.912686)",718-561-0973,Ireyes@marblehillschool.org
Institute for Health Professions at Cambria Heights,Q,French,Cambria Heights,Q490,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",718-723-7301,information@ihpch.org
East-West School of International Studies,Q,"Japanese, Korean, Mandarin, Spanish",Flushing,Q237,"46-21 Colden Street, Flushing NY 11355(40.74943, -73.821402)",718-353-0009,admissions@ewsis.org
High School for Law and Public Service,M,Spanish,Washington Heights N.,M465,"549 Audubon Avenue, Manhattan NY 10040(40.856532, -73.92606)",212-342-6130,jalmonte@06m467.com
John Dewey High School,K,"Mandarin, Spanish",Gravesend,K540,"50 Avenue X, Brooklyn NY 11223(40.58807, -73.981925)",718-373-6400,contact_jdhs@johndeweyhighschool.org
Khalil Gibran International Academy,K,"Arabic, French",DUMBO-Downtown Brooklyn,K806,"362 Schermerhorn Street, Brooklyn NY 11217(40.686147, -73.979829)",718-237-2502,nnicolas@schools.nyc.gov
August Martin High School,Q,"French, Spanish",Springfield Gardens North,Q400,"156-10 Baisley Boulevard, Jamaica NY 11434(40.673949, -73.782684)",718-528-2920,rparnel@schools.nyc.gov
Liberation Diploma Plus High School,K,Spanish,Seagate-Coney Island,K728,"2865 West 19th Street, Brooklyn NY 11224(40.576976, -73.985413)",718-946-6812,aleong@schools.nyc.gov
"Mathematics, Science Research and Technology Magnet High School",Q,Spanish,Cambria Heights,Q490,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",718-978-1837,jcruz3@schools.nyc.gov
High School of Applied Communication,Q,Spanish,Hunters Point-Sunnyside,Q735,"30-20 Thomson Avenue, Long Island City NY 11101(40.744175, -73.937004)",718-389-3163,24Q267@schools.nyc.gov
Manhattan Village Academy,M,"Latin, Spanish",Chelsea-Union Sq,M873,"43 West 22nd Street, Manhattan NY 10010(40.741963, -73.991966)",212-242-8752,hgeager@schools.nyc.gov
In-Tech Academy (M.S. / High School 368),X,"French, Spanish",Spuyten Duyvil-Kingsbridge,X368,"2975 Tibbett Avenue, Bronx NY 10463(40.877935, -73.913694)",718-432-4300,acastro@in-techacademy.org
Urban Assembly High School of Music and Art,K,Spanish,DUMBO-Downtown Brooklyn,K805,"49 Flatbush Avenue Extension, Brooklyn NY 11201(40.69733, -73.984528)",718-858-0249,Czayas4@schools.nyc.gov
Robert H. Goddard High School of Communication Arts and Technology,Q,Spanish,Ozone Park,Q202,"138-30 Lafayette Street, Ozone Park NY 11417(40.670905, -73.845992)",718-848-8357,corcinopino2@schools.nyc.gov
International High School at Lafayette,K,Spanish,Gravesend,K400,"2630 Benson Avenue, Brooklyn NY 11214(40.593028, -73.986313)",718-333-7860,jharrim@schools.nyc.gov
Jamaica Gateway to the Sciences,Q,Spanish,Briarwood-Jamaica Hills,Q470,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",718-480-2689,cbirchw@schools.nyc.gov
The Brooklyn Academy of Global Finance,K,Spanish,Bedford-Stuyvesant,K057,"125 Stuyvesant Avenue, Brooklyn NY 11221(40.691467, -73.932254)",718-574-3126,info@bkagf.org
Thomas A. Edison Career and Technical Education High School,Q,Spanish,Briarwood-Jamaica Hills,Q620,"165-65 84th Avenue, Jamaica NY 11432(40.716071, -73.799692)",718-297-6580,28Q620@schools.nyc.gov
High School for Media and Communications,M,"German, Spanish",Washington Heights N.,M465,"549 Audubon Avenue, Manhattan NY 10040(40.856532, -73.92606)",212-927-1841,bgalvez@schools.nyc.gov
High School for Health Careers and Sciences,M,Spanish,Washington Heights N.,M465,"549 Audubon Avenue, Manhattan NY 10040(40.856532, -73.92606)",212-927-1841,Jtrejo@schools.nyc.gov
"The Marie Curie School for Medicine, Nursing, and Health Professions",X,Spanish,Van Cortlandt Village,X143,"120 West 231st Street, Bronx NY 10463(40.875636, -73.901565)",718-432-6491,10X237@schools.nyc.gov
Marta Valle High School,M,"Italian, Spanish",Chinatown,M025,"145 Stanton Street, Manhattan NY 10002(40.72004, -73.986038)",212-473-8152,RRivera60@schools.nyc.gov
Metropolitan Expeditionary Learning School,Q,"French, Spanish",Forest Hills,Q686,"91-30 Metropolitan Avenue, Forest Hills NY 11375(40.708431, -73.855543)",718-286-3500,metropolitanels@gmail.com
"Archimedes Academy for Math, Science and Technology Applications",X,Spanish,Castle Hill-Clason Point,X174,"456 White Plains Road, Bronx NY 10473(40.815043, -73.85607)",718-617-5046,archimedesacademy@gmail.com
High School for Service & Learning at Erasmus,K,"French, Spanish",Flatbush,K465,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",718-564-2551,jvaness@schools.nyc.gov
Newtown High School,Q,"French, Italian, Mandarin, Spanish",Elmhurst,Q455,"48-01 90th Street, Elmhurst NY 11373(40.740824, -73.874129)",718-595-8400,77Q455@schools.nyc.gov
Richmond Hill High School,Q,Spanish,Richmond Hill,Q475,"89-30 114th Street, Richmond Hill NY 11418(40.695171, -73.833815)",718-846-3335,contact@richmondhillhs.org
Careers In Sports High School,X,"French, Spanish",E. Concourse-Concourse Village,X790,"730 Concourse Village West, Bronx NY 10451(40.821828, -73.922366)",718-292-7110,JGarcia30@schools.nyc.gov
Brooklyn Collegiate: A College Board School,K,"Mandarin, Spanish",Ocean Hill,K055,"2021 Bergen Street, Brooklyn NY 11233(40.674456, -73.912685)",718-922-1145,HNewman@schools.nyc.gov
High School for Dual Language and Asian Studies,M,Mandarin,Chinatown,M445,"350 Grand Street, Manhattan NY 10002(40.717329, -73.989329)",212-475-4097,LYan@schools.nyc.gov
Sunset Park High School,K,Spanish,Sunset Park West,K564,"153 35th Street, Brooklyn NY 11232(40.655583, -74.004342)",718-840-1900,tnesbit-leslie@sunsetparkhighschool.org
Manhattan Early College School for Advertising,M,Spanish,Chinatown,M520,"411 Pearl Street, Manhattan NY 10038(40.711441, -74.000851)",212-225-0880,Info@meca-nyc.org
Washington Heights Expeditionary Learning School (WHEELS),M,Spanish,Washington Heights N.,M143,"511 West 182nd Street, Manhattan NY 10033(40.849311, -73.930991)",212-781-0524,a.glynn@wheelsnyc.org
Brooklyn International High School,K,English,DUMBO-Downtown Brooklyn,K805,"49 Flatbush Avenue Extension, Brooklyn NY 11201(40.69733, -73.984528)",718-643-9315,krucker@schools.nyc.gov
Hostos-Lincoln Academy of Science,X,Spanish,Melrose S.-Mott Haven N.,X162,"600 Saint Ann's Avenue, Bronx NY 10455(40.814857, -73.912038)",718-402-5640,npaarlberg@schools.nyc.gov
Young Women's Leadership School of Brooklyn (TYWLS),K,Spanish,Bushwick,K147,"325 Bushwick Avenue, Brooklyn NY 11206(40.705005, -73.93879)",718-387-5641,admissions@tywlsbrooklyn.org
Bronx Design and Construction Academy,X,"French, Spanish",Melrose S.-Mott Haven N.,X600,"333 East 151st Street, Bronx NY 10451(40.818645, -73.919949)",718-402-7690,admissions@bxdca.org
Mott Haven Village Preparatory High School,X,"French, Spanish",Melrose S.-Mott Haven N.,X470,"701 St. Anns Avenue, Bronx NY 10455(40.818041, -73.911633)",718-402-0571,mwilliams81@schools.nyc.gov
High School for Innovation in Advertising and Media,K,Spanish,Canarsie,K500,"1600 Rockaway Parkway, Brooklyn NY 11236(40.640543, -73.898601)",718-290-8760,info@iam-hs.org
Bronx Collaborative High School,X,"Japanese, Spanish",Van Cortlandt Village,X440,"100 West Mosholu Parkway South, Bronx NY 10468(40.879958, -73.889011)",718-543-1023,newstudentinfo@bxchs.org
Flushing High School,Q,"Mandarin, Spanish",Flushing,Q460,"35-01 Union Street, Flushing NY 11354(40.764892, -73.826811)",718-888-7500,MVacarr@schools.nyc.gov
Information Technology High School,Q,Spanish,Hunters Point-Sunnyside,Q725,"21-16 44th Road, Long Island City NY 11101(40.748502, -73.946488)",718-937-4270,eromanmendoza@schools.nyc.gov
William Cullen Bryant High School,Q,"Bengali, French, Greek, Spanish",Astoria,Q445,"48-10 31st Avenue, Astoria NY 11103(40.757072, -73.911165)",718-721-5404,YManrique@schools.nyc.gov
Kingsbridge International High School,X,Spanish,Van Cortlandt Village,X430,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",718-329-8580,Wgagstetter@schools.nyc.gov
Gregorio Luperon High School for Science and Mathematics,M,"French, Spanish",Washington Heights S.,M876,"501 West 165th Street, Manhattan NY 10032(40.8381, -73.9383)",212-928-1202,ydelaro@schools.nyc.gov
Pelham Preparatory Academy,X,Spanish,Bronxdale,X415,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",718-944-3601,BFerron@schools.nyc.gov
Manhattan / Hunter Science High School,M,"French, Spanish",Lincoln Square,M490,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",212-501-1235,THowell3@schools.nyc.gov
Frederick Douglass Academy,M,"French, Japanese, Spanish",Central Harlem North,M010,"2581 7th Avenue, Manhattan NY 10039(40.823988, -73.935746)",212-491-4107,AFullerton2@schools.nyc.gov
East Williamsburg Scholars Academy,K,"Cantonese, Spanish",Bushwick,K450,"850 Grand Street, Brooklyn NY 11211(40.711134, -73.938921)",718-387-2800,ewsamedia@gmail.com
James Madison High School,K,"French, Italian, Mandarin, Russian, Spanish",Madison,K425,"3787 Bedford Avenue, Brooklyn NY 11229(40.610499, -73.947661)",718-758-7200,22K425@schools.nyc.gov
Gaynor McCown Expeditionary Learning School,R,Spanish,Todt Hill-Heartland Village,R043,"100 Essex Drive, Staten Island NY 10314(40.581958, -74.159343)",718-370-6950,dleongonzalez@schools.nyc.gov
EBC High School for Public Service-Bushwick,K,Spanish,Bushwick,K913,"1155 Dekalb Avenue, Brooklyn NY 11221(40.694723, -73.929315)",718-452-3440,32k545@schools.nyc.gov
The High School For Language and Diplomacy,M,"Mandarin, Spanish",Gramercy,M460,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",212-253-2480,JCornell3@schools.nyc.gov
Collegiate Institute for Math and Science (CIMS),X,Spanish,Bronxdale,X415,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",718-944-3635,fnelson2@schools.nyc.gov
Bronx Envision Academy,X,"Mandarin, Spanish",Crotona Park East,X098,"1619 Boston Road, Bronx NY 10460(40.836245, -73.890591)",718-589-1590,info@bronxenvision.org
Bard High School Early College,M,"German, Greek, Latin, Mandarin, Spanish",Lower East Side,M097,"525 East Houston Street, Manhattan NY 10002(40.718276, -73.976093)",212-995-8479,apply@bhsec.bard.edu
William E. Grady Career and Technical Education High School,K,Spanish,Brighton Beach,K620,"25 Brighton 4th Road, Brooklyn NY 11235(40.583263, -73.963764)",718-332-5000,tmontalbano@schools.nyc.gov
Harvest Collegiate High School,M,"French, Spanish",West Village,M883,"34 West 14th Street, Manhattan NY 10011(40.736416, -73.995731)",212-242-3384,info@harvestcollegiate.org
The School for Human Rights,K,"French, Spanish",Prospect Lefferts Gardens,K470,"600 Kingston Avenue, Brooklyn NY 11203(40.658671, -73.943839)",718-771-4793,malexan@schools.nyc.gov
Humanities Preparatory Academy,M,"Arabic, French",Chelsea-Union Sq,M440,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",212-929-4433,Hilda@humanitiesprep.org
Origins High School,K,"Italian, Mandarin, Russian",Sheepshead Bay,K495,"3000 Avenue X, Brooklyn NY 11235(40.593157, -73.936635)",718-891-0037,origins@originshighschool.org
Manhattan Business Academy,M,"French, Spanish",Chelsea-Union Sq,M440,"351 West 18th Street, Manhattan NY 10011(40.743407, -74.00254)",212-647-1983,kpolson@manhattanbusinessacademy.org
Bronx Theatre High School,X,Spanish,Spuyten Duyvil-Kingsbridge,X475,"99 Terrace View Avenue, Bronx NY 10463(40.877379, -73.912686)",718-329-2902,DAlbett@schools.nyc.gov
Special Music School,M,Spanish,Lincoln Square,M932,"122 Amsterdam Avenue, Manhattan NY 10023(40.775256, -73.982976)",212-501-3318,admissions@specialmusicschool.org
Brooklyn Theatre Arts High School,K,French,Canarsie,K515,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",718-968-1072,mmcdaniel@bktheatrearts.org
The Cinema School,X,French,West Farms-Bronx River,X423,"1551 East 172nd Street, Bronx NY 10472(40.832508, -73.878191)",718-620-2560,lgutierrez@tcs-nyc.org
Bedford Academy High School,K,"French, Mandarin, Spanish",Bedford-Stuyvesant,K994,"1119 Bedford Avenue, Brooklyn NY 11216(40.685486, -73.953692)",718-398-3061,ptate@schools.nyc.gov
Millennium High School,M,"Mandarin, Spanish",Lower Manhattan,M824,"75 Broad Street, Manhattan NY 10004(40.704697, -74.011202)",212-825-9008,admissions@millenniumhs.org
West Bronx Academy for the Future,X,"French, Spanish",Belmont,X435,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",718-563-7139,info@bronxacademy.org
Renaissance High School for Musical Theater and the Arts,X,Spanish,Schuylerville-Throgs Neck,X405,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",718-430-6390,mherrer2@schools.nyc.gov
Bronx Latin,X,"French, Spanish",Longwood,X158,"800 Home Street, Bronx NY 10456(40.826933, -73.900593)",718-991-6349,anelson@bronxlatin.com
