building_name,zipcode,total_inhabitants,latitude,longitude,NTA,yearbuilt
Flatbush Dutch Reformed Church,11226,395,40.6497509,-73.959139,Williamsbridge-Olinville,1905
Not determined,11225,416,40.6587086,-73.954925,Chinatown,1920
William O. Donnellon,11225,475,40.6588186,-73.95808,Jamaica,1920
Thomas Brown,11225,1104,40.658946,-73.955975,Forest Hills,1900
Bertram & Eli H. Bishop,11225,532,40.6594494,-73.959389,Clinton,1910
Frederick B. Norris Company,11225,448,40.6598216,-73.958978,Claremont-Bathgate,1901
William A. A. Brown,11225,649,40.6599544,-73.955071,Hunters Point-Sunnyside-West Maspeth,1925
Stephen Woris,11225,419,40.6600032,-73.959635,East Concourse-Concourse Village,1905
Stephen Woris,11225,390,40.6600032,-73.959635,Belmont,1925
William H. Todd,11225,853,40.6606871,-73.957543,Astoria,1925
Not determined,11225,406,40.6613395,-73.956662,Belmont,1910
Not determined,11225,356,40.6613974,-73.955802,Gramercy,1907
Kingston Realty Company,11225,3383,40.6619011,-73.955793,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1905
Kingston Realty Company,11225,429,40.6621466,-73.951894,Clinton,1905
Kingston Realty Company,11225,379,40.6621548,-73.95175,Claremont-Bathgate,1905
Not determined,11225,528,40.6629247,-73.95219,East New York,1905
Not determined,11225,3427,40.6630128,-73.95473,Bensonhurst West,1910
Not determined,11225,1057,40.6631154,-73.952971,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1910
William M. Calder,11215,545,40.6635021,-73.979288,Hudson Yards-Chelsea-Flatiron-Union Square,1910
Mary Wood & Charles Orville,11215,302,40.6635617,-73.982776,Gramercy,1924
Christian Doenecke,11215,589,40.6636373,-73.977846,Stuyvesant Heights,1901
Mary Wood & Charles Orville,11215,387,40.6636488,-73.983079,Springfield Gardens North,1920
John Gallagher,11215,443,40.6643016,-73.983908,Midtown-Midtown South,1899
Thomas Brown,11215,380,40.6648081,-73.978417,Clinton,1900
J. Brown,11215,490,40.664937,-73.982238,Van Cortlandt Village,1910
Louis Levy,11215,2366,40.6655905,-73.978202,South Ozone Park,1901
Louis Levy,11215,425,40.665758,-73.977729,Mott Haven-Port Morris,1901
James Jacks,11215,475,40.665945,-73.981626,Schuylerville-Throgs Neck-Edgewater Park,1901
Charles G. Peterson,11215,567,40.6668186,-73.975429,Flushing,1910
John A. Bliss,11215,1162,40.6669474,-73.975746,Bellerose,1901
Allan Brothers,11215,179,40.6693723,-73.977379,Battery Park City-Lower Manhattan,1920
William H. Reynolds (First Construction Company),11215,2081,40.6694887,-73.974946,Co-op City,1899
"Thomas G. Carlin, Inc.",11215,253,40.6696344,-73.975622,Morrisania-Melrose,1901
E. H. Mowbray,11215,371,40.6696739,-73.977993,Williamsbridge-Olinville,1920
"Thomas G. Carlin, Inc.",11215,238,40.6697492,-73.975622,Bushwick North,1899
William Flanagan,11215,3316,40.6700778,-73.97697,Battery Park City-Lower Manhattan,1920
Not determined,11215,1257,40.670165,-73.977154,Central Harlem North-Polo Grounds,1899
Kingston Realty Company,11213,300,40.6704911,-73.940665,Canarsie,1899
Charles G. Reynolds,11213,776,40.6705186,-73.946951,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1901
Julius Anderson,11215,3654,40.6705613,-73.977933,Annadale-Huguenot-Prince's Bay-Eltingville,1910
Lincoln Place Realty,11213,153,40.6706918,-73.943223,Brownsville,1899
Kings & Westchester Land Company,11213,275,40.6707105,-73.945003,East Concourse-Concourse Village,1910
John Magilligan,11215,528,40.6708676,-73.976078,East Concourse-Concourse Village,1931
William R. Pearce (Anglo-American Savings & Loan Assoc.),11216,277,40.67089,-73.948506,East New York (Pennsylvania Ave),1920
Carrie E. Hine,11216,426,40.6709156,-73.948974,Chinatown,1901
Not determined,11215,929,40.6709244,-73.977121,Bensonhurst West,1910
William R. Pearce (Anglo-American Savings & Loan Assoc.),11216,492,40.6711027,-73.950181,Lincoln Square,1901
Kings Improvement Company,11213,360,40.6712645,-73.946863,Erasmus,1910
"Allan Brothers & Company, Arbuckle Building, Brooklyn",11215,475,40.6717327,-73.971845,Hudson Yards-Chelsea-Flatiron-Union Square,1915
Julius Strauss & Samuel Charig,11216,463,40.6719151,-73.949791,East Tremont,1901
Joseph P. Puels,11216,609,40.672375,-73.949641,Belmont,1929
Charles C. Haines & Company,11213,421,40.6725731,-73.940117,Van Cortlandt Village,1901
James G. Roberts,11216,660,40.6727339,-73.94916,Windsor Terrace,1899
Pierce W. Grace,11213,669,40.6728324,-73.942314,Briarwood-Jamaica Hills,1929
George F. Beatty,11216,268,40.6732239,-73.948939,Longwood,1931
William Flanagan,11215,939,40.6740674,-73.974823,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1906
James C. Jewett,11215,521,40.6740884,-73.973734,Washington Heights South,1920
James C. Jewett,11215,580,40.6741354,-73.973856,North Side-South Side,1899
Frederick W. & Walter S. Hammett,11216,645,40.674277,-73.955891,Hunts Point,1899
Not determined,11215,649,40.6743362,-73.974374,Flushing,1901
Robert S. Bussing & Philip I. Cootey,11217,389,40.675101,-73.974356,East Harlem South,1899
William Gubbins,11217,702,40.6752287,-73.97196,Kew Gardens Hills,1920
F. W. Swimm,11217,271,40.6758712,-73.976359,East Concourse-Concourse Village,1899
H. B. Lyons,11217,407,40.6761876,-73.978101,Cambria Heights,1899
William Reynolds,11238,341,40.6764587,-73.968992,Canarsie,1901
John A. Bliss,11216,533,40.6765352,-73.946115,Battery Park City-Lower Manhattan,1910
Not determined,11217,5937,40.6770289,-73.976495,Fort Greene,1905
W. S. Ray,11216,267,40.6771669,-73.948421,park-cemetery-etc-Brooklyn,1901
Levy Brothers Realty,11238,532,40.6771936,-73.968625,Soundview-Castle Hill-Clason Point-Harding Park,1899
Levy Brothers Realty,11238,497,40.6772926,-73.968589,St. Albans,1930
Not determined,11217,250,40.6773207,-73.973859,Central Harlem North-Polo Grounds,1930
G. W. Brown,11217,342,40.6777131,-73.975529,Longwood,2007
Edward Livermore,11238,434,40.6779414,-73.96902,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1920
Not determined,11231,511,40.6789685,-73.993168,East Concourse-Concourse Village,1910
Thomas Farrell,11238,224,40.6791094,-73.969773,Williamsburg,1899
W. H. Scott,11217,483,40.6796342,-73.974452,Lower East Side,1980
John Layton,11231,352,40.6803697,-73.992244,Prospect Lefferts Gardens-Wingate,1920
Samuel Willen,11233,2203,40.6803782,-73.933476,Gravesend,1899
Samuel Willen,11233,413,40.6803782,-73.933476,Upper West Side,1901
Samuel S. Booth,11216,326,40.6804333,-73.94132,Crotona Park East,1901
Thomas B. Jackson,11216,623,40.6812512,-73.952365,West Brighton,1899
Henry Cornell,11233,250,40.6814597,-73.931085,East New York (Pennsylvania Ave),1899
Henry Search,11216,302,40.6814672,-73.938674,East Williamsburg,1899
Henry Grasman,11233,196,40.6818094,-73.928971,Gramercy,1910
Not determined,11233,268,40.6818434,-73.93225,Park Slope-Gowanus,1910
John S. Frost,11216,459,40.6819561,-73.947323,Gramercy,1899
B. Griffiths or Bridget Sheehan,11216,3806,40.6820863,-73.938796,Forest Hills,1910
Rodolphus Johnson or James Rhine,11216,382,40.6822869,-73.940456,Crown Heights South,1900
Susanna E. C. Russell,11216,508,40.6822932,-73.947771,East Harlem South,1931
Mary E. Fowler,11216,511,40.6823837,-73.945789,Bronxdale,1899
Montrose W. Morris,11216,3300,40.6827809,-73.945825,Briarwood-Jamaica Hills,1901
William H. Reynolds,11216,571,40.6832429,-73.944948,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1900
Montrose W. Morris,11216,1351,40.6832538,-73.945826,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1899
Cresnell Improvement Company,11216,396,40.6832563,-73.949152,Washington Heights North,1899
G. H. Stevens,11233,643,40.6834343,-73.933632,Hunters Point-Sunnyside-West Maspeth,1899
George Nicholls,11233,1235,40.6834745,-73.929848,Bay Ridge,1899
Wells & Crockett,11233,581,40.683657,-73.934788,Crown Heights North,1899
Joseph P. Puels,11233,582,40.683734,-73.934085,Auburndale,1899
Hamilton A. Weed,11216,558,40.6843246,-73.945096,Clinton,1910
Emory M. Van Tassel,11231,473,40.6844646,-73.996795,Battery Park City-Lower Manhattan,1915
Emory M. Van Tassel,11231,1513,40.6845037,-73.996776,North Riverdale-Fieldston-Riverdale,1901
Not determined,11238,417,40.6846031,-73.965619,Springfield Gardens North,1901
Louis Saveur,11238,302,40.6846522,-73.961717,park-cemetery-etc-Brooklyn,1901
Not determined,11238,407,40.6849485,-73.962578,Lincoln Square,1901
Not determined,11238,231,40.6851266,-73.964274,Bushwick North,1899
Not determined,11231,607,40.6851951,-73.999045,Bronxdale,1901
Jacob Frost,11231,1007,40.685229,-73.998575,Queensbridge-Ravenswood-Long Island City,1900
Not determined,11217,301,40.6852647,-73.985001,Crown Heights North,2006
Not determined,11217,468,40.6853358,-73.986027,Gramercy,1920
Middle Reformed Dutch Church,11231,388,40.6853852,-73.99512,East Concourse-Concourse Village,1910
Not determined,11217,419,40.6854807,-73.98669,Belmont,1858
Robert Bonnet,11238,530,40.6856672,-73.969515,Lenox Hill-Roosevelt Island,1910
Not determined,11217,387,40.6856922,-73.985149,Manhattanville,1901
Not determined,11217,810,40.6859131,-73.986608,Clinton Hill,1915
Not determined,11238,226,40.685957,-73.96809,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1910
Thomas Skelly,11238,459,40.685964,-73.970154,Bronxdale,2002
Not determined,11231,967,40.686077,-73.998789,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1901
Not determined,11217,451,40.6861476,-73.985459,SoHo-TriBeCa-Civic Center-Little Italy,1901
Not determined,11217,608,40.6861476,-73.985459,Washington Heights North,1915
Not determined,11238,273,40.6861952,-73.972655,Elmhurst,1900
Not determined,11238,264,40.6862003,-73.97261,Canarsie,1920
Not determined,11217,150,40.6864115,-73.976998,Crown Heights North,1920
Caleb S. Woodhull,11238,245,40.6865824,-73.971248,Seagate-Coney Island,1899
Not determined,11238,565,40.6868713,-73.965336,Claremont-Bathgate,1899
Not determined,11231,2252,40.6871663,-73.998976,Astoria,1990
St. Paul's Roman Catholic Church,11201,726,40.6873462,-73.993814,Hudson Yards-Chelsea-Flatiron-Union Square,1995
Not determined,11201,317,40.6874021,-73.999406,Williamsbridge-Olinville,1900
Not determined,11238,413,40.6874837,-73.963496,Cambria Heights,1910
Not determined,11201,237,40.6876205,-73.996114,Midtown-Midtown South,1899
Not determined,11238,4492,40.6877045,-73.965906,Auburndale,1899
Not determined,11238,587,40.6877135,-73.971094,Van Cortlandt Village,1899
Not determined,11238,277,40.6877135,-73.971094,Bushwick North,1901
Not determined,11205,530,40.6879314,-73.971666,Mott Haven-Port Morris,1930
Lawrence Kane,11217,205,40.6882375,-73.974953,Brownsville,1901
Michael Moran,11205,439,40.6883402,-73.970592,Crown Heights North,1900
James A. Budd,11201,422,40.6885785,-73.994198,Soundview-Castle Hill-Clason Point-Harding Park,1899
Not determined,11201,500,40.6886577,-73.995986,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1899
United States Department of the Army,10004,784,40.6887835,-74.014058,Corona,1920
Not determined,11201,429,40.6889126,-73.9981,Lincoln Square,1900
George N. Van Duzer,11205,359,40.6889514,-73.968687,Williamsbridge-Olinville,1930
Not determined,11205,418,40.6889851,-73.972661,Crotona Park East,1905
Not determined,11205,414,40.6894176,-73.97044,Marble Hill-Inwood,1930
United States Department of the Army,10004,578,40.6894351,-74.013547,Springfield Gardens North,1930
Not determined,11205,414,40.6901407,-73.971973,Van Cortlandt Village,1900
Jacob LeRoy,11201,339,40.6901688,-73.995861,Chinatown,1931
Shell Oil Company,11201,446,40.6904054,-73.995898,Soundview-Castle Hill-Clason Point-Harding Park,1915
Russell H. Nevins,11201,476,40.6907828,-73.996843,Hudson Yards-Chelsea-Flatiron-Union Square,1963
John Mitchie,11201,1576,40.6911115,-73.992554,Richmond Hill,1900
L. Bellard,11201,554,40.6913708,-73.994109,Schuylerville-Throgs Neck-Edgewater Park,1900
"Mary Osborn Polack and Charles, William, & Robert Osborn",11205,313,40.6913979,-73.967723,Central Harlem South,1915
John & James Pratt,11201,430,40.6917053,-73.996245,park-cemetery-etc-Brooklyn,1901
Not determined,11201,659,40.6918791,-73.996725,Soundview-Castle Hill-Clason Point-Harding Park,1900
S. S. Guy,11201,2088,40.692055,-73.993622,Hunters Point-Sunnyside-West Maspeth,1901
George Duckwitz,11201,527,40.6921718,-73.995254,North Side-South Side,1900
James Rutherford,11201,1503,40.692185,-73.99634,Manhattanville,1900
Not determined,11434,184,40.6922877,-73.773,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1900
Jeffery Realty Corporation,11434,680,40.6923033,-73.774058,East Village,1940
Not determined,11201,467,40.6927765,-73.997155,Erasmus,1940
Henry Lombard,11201,346,40.6931658,-73.995647,Far Rockaway-Bayswater,1920
Not determined,11201,356,40.6935052,-73.993745,Longwood,1899
Not determined,11434,3693,40.6936411,-73.769589,Midwood,1900
Philo Gilbert,11201,439,40.6938411,-73.993982,Cambria Heights,1925
John Skillman,11201,376,40.6940739,-73.99483,East New York (Pennsylvania Ave),1900
Isaac Bassett,11201,1330,40.6944084,-73.99467,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,1900
Not determined,11434,430,40.6946289,-73.769811,Bushwick North,1900
Not determined,11201,491,40.6950498,-73.993884,Van Cortlandt Village,1925
Thomas Carpenter,11201,449,40.6950564,-73.992914,Hudson Yards-Chelsea-Flatiron-Union Square,1926
Charles Pratt,11205,681,40.695078,-73.970394,Battery Park City-Lower Manhattan,1901
Not determined,11201,228,40.6952166,-73.996257,East Concourse-Concourse Village,1905
Not determined,11201,213,40.6952586,-73.995223,Crown Heights South,1960
Not determined,11201,313,40.6964772,-73.996863,Lenox Hill-Roosevelt Island,1900
Not determined,11418,377,40.6978886,-73.845859,Marble Hill-Inwood,1924
Not determined,11201,294,40.6999881,-73.993699,Rugby-Remsen Village,1900
Not determined,11201,245,40.7009501,-73.991926,Hudson Yards-Chelsea-Flatiron-Union Square,1900
Not determined,11201,3016,40.7010433,-73.993703,Van Cortlandt Village,1910
Not determined,11201,372,40.7010778,-73.993606,Clinton,1980
Paul Stier,11385,324,40.7011142,-73.898017,University Heights-Morris Heights,1980
Charles Fritz,11385,658,40.7014541,-73.90353,South Jamaica,1910
Paul Stier,11385,352,40.7015509,-73.89794,Belmont,1930
Nicholas Lublum,11433,335,40.7017191,-73.798744,Bushwick North,1910
Cornelius Weberig (possibly),11385,542,40.7020608,-73.901388,Williamsbridge-Olinville,1930
Paul Stier,11385,2344,40.7023219,-73.895755,Astoria,1901
Paul Stier,11385,466,40.7024012,-73.900235,SoHo-TriBeCa-Civic Center-Little Italy,1901
"Whitehead Cornell, James Clark, Leonard Appleby & W. Lawson",11201,427,40.7025186,-73.98364,Lenox Hill-Roosevelt Island,1910
Paul Stier,11385,551,40.7025958,-73.899556,East New York,1899
Constantino Buttacavola,11201,409,40.7026991,-73.980803,East New York (Pennsylvania Ave),1910
Paul Stier,11385,402,40.7028292,-73.898706,Chinatown,1915
Joseph or George Gilfilland or John A. Cochran,11201,587,40.7031887,-73.980858,Mott Haven-Port Morris,1901
Paul Stier,11385,240,40.7032501,-73.897838,Canarsie,1925
Ignatz Martin,11385,672,40.7033408,-73.900579,West Farms-Bronx River,1901
United States Federal Government,10004,252,40.7044553,-74.013393,Crown Heights North,1910
Paul Stier,11385,486,40.7056085,-73.897782,Gramercy,1907
Not determined,10038,3051,40.7069125,-74.002154,New Dorp-Midland Beach,1915
Ryneer Suydam,10006,304,40.7084205,-74.014114,Upper West Side,1900
Joseph Weiss & Company,11385,438,40.7090151,-73.913388,Springfield Gardens North,1986
New York City Housing Authority / Federal PWA,11206,375,40.7102951,-73.942195,Clinton,1901
New York County Lawyers' Association,10007,2196,40.7120029,-74.009009,Briarwood-Jamaica Hills,1936
City of New York,10007,414,40.7128789,-74.003316,Gramercy,1929
"John Martin, Jr. (owner), Giles Brothers (lessee)",10007,286,40.7155402,-74.007136,Gravesend,1914
"Theordore Beach, Stephen Baker & Martin E. Greene",10013,409,40.7161164,-74.007564,Morrisania-Melrose,1930
American Express Company,10013,456,40.7175835,-74.009168,Clinton,1920
Leopold Schepp,10013,1805,40.7175835,-74.009168,Elmhurst,1900
Peter Dobb,10013,831,40.717776,-74.010166,Bushwick South,1930
Joseph Bacharach,10013,448,40.7184206,-74.009961,Marble Hill-Inwood,1920
Morris Poznanski,10013,3522,40.7185242,-74.004652,Kew Gardens Hills,1920
Isaiah V. Williamson,10013,480,40.7187005,-74.005474,East Harlem South,1910
Peter Lorillard,10013,536,40.7187521,-74.001872,Mount Hope,1900
Emanuel Uhlfelder,10013,295,40.7197018,-74.003353,Co-op City,1915
Charles E. Appleby &  Aaron H. Rathbone,10013,828,40.7198477,-74.003673,Queensbridge-Ravenswood-Long Island City,1910
Daniel C. Kingsland,10013,464,40.7198477,-74.003673,Belmont,1915
William S. Livingston,10013,519,40.7204271,-74.00972,Melrose South-Mott Haven North,1900
Protestant Episcopal Society,10013,421,40.7204271,-74.00972,Clinton Hill,1915
William Astor,10013,415,40.721027,-74.001157,Prospect Lefferts Gardens-Wingate,1915
Harvey Chaffee,10013,1331,40.7214034,-74.000355,New Dorp-Midland Beach,1915
O. J. Walbridge,10013,362,40.7214262,-74.004096,Central Harlem South,1920
"Nathan, Schwab & Kayser",10013,447,40.7220632,-74.001941,Briarwood-Jamaica Hills,1915
Lorillard Estate,10012,426,40.7233481,-74.001931,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1910
Charles Harrell,10012,466,40.7235039,-73.999955,Far Rockaway-Bayswater,1900
Sidney P. Ingraham,10003,2760,40.724288,-73.989054,Lincoln Square,1920
Charles Smith,10012,265,40.7245025,-73.998965,Chinatown,1910
A. B. Strange,10012,246,40.7247157,-73.998922,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1900
The Fiske Associated Company,10012,4156,40.7248988,-74.000618,Flatbush,1910
Henry Hughes,10012,233,40.7250286,-74.002284,Murray Hill-Kips Bay,1920
Benjamin Stephens,10012,713,40.7255505,-73.99262,Washington Heights South,1900
"Thompson Construction Company; Dominick Abbate, Jr.",10012,4559,40.7257883,-74.002262,Bay Ridge,1920
B. M. Martin,10012,296,40.7265296,-73.999809,Crown Heights South,1900
Caroline Whitney,10003,668,40.7266961,-73.987093,Crotona Park East,1900
S. P. Bueripple,10012,547,40.7272984,-74.00199,Briarwood-Jamaica Hills,1900
John M. Ferdinand,10009,424,40.7273703,-73.980463,Flushing,1900
Joseph L. Buttenweiser,10003,304,40.7275305,-73.989914,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1910
Schwartzchild & Sulzberger,10003,481,40.7275347,-73.989086,Washington Heights North,1910
Charles Ruff,10003,210,40.7275775,-73.987381,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,1920
William A. Flannelly,10009,430,40.7277963,-73.981492,Claremont-Bathgate,1920
David Watkins,11222,423,40.72836,-73.956054,West Farms-Bronx River,1900
Not determined,11222,718,40.7284014,-73.95539,Morningside Heights,1899
Beach LaFrance,11222,1478,40.7284157,-73.955704,Turtle Bay-East Midtown,1899
"Cella & Brothers, Georlano Cella",10012,471,40.7286891,-73.99886,East Williamsburg,1899
Dr. Bradley M. Richardson,11222,582,40.7287966,-73.954872,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1900
George Downing,10014,408,40.7289068,-74.003154,Claremont-Bathgate,1899
Nicolas Low (Estate of),10012,379,40.7289977,-74.00104,Bronxdale,1900
Isidor S. Korn,10012,662,40.7291755,-74.000433,Mott Haven-Port Morris,1910
John P. Elmendorf & Albert H. Scofield,10014,649,40.7295987,-74.003037,Hunters Point-Sunnyside-West Maspeth,1900
David Woods,10012,794,40.7296544,-73.999813,Schuylerville-Throgs Neck-Edgewater Park,1910
Anthony A. Hughes,10012,533,40.7296619,-73.9995,Queensbridge-Ravenswood-Long Island City,1900
James R. Sparrow,11222,350,40.7302304,-73.957237,Canarsie,1900
Orlando B. Potter,10003,435,40.7302548,-73.992214,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1930
Not determined,10014,389,40.730373,-74.005902,Cambria Heights,1909
William B. Pope,10014,347,40.7307869,-74.00613,Gravesend,1901
"Roka, LLC",10014,299,40.730875,-74.003974,Morrisania-Melrose,1900
William Ogden,11222,270,40.7308832,-73.955795,East New York,1910
Asher Martin & John Bennet,10014,178,40.7315212,-74.00458,Crown Heights North,1899
Letitia A. Poillon (Estate of),10014,127,40.7317879,-74.005432,Chinatown,1899
Letitia A. Poillon (Estate of),10014,297,40.7317879,-74.005432,Erasmus,1910
Charles Oakley,10014,329,40.731919,-74.004146,North Side-South Side,1910
Gordon Burnham,10014,314,40.7319655,-74.00097,Lincoln Square,1899
Collegiate Reformed Dutch Church,10014,369,40.7320857,-74.001152,Marble Hill-Inwood,1900
Edmund Wilkes,10011,330,40.7322609,-73.997855,Hudson Yards-Chelsea-Flatiron-Union Square,1910
Louis Siebert,10011,302,40.7323746,-73.998053,Bushwick South,1900
Not determined,10011,540,40.7326085,-73.997843,Mount Hope,1900
Clinton Gilbert,10011,832,40.7327943,-73.998228,Forest Hills,1900
Aquila G. Stout,10003,675,40.7328327,-73.994277,Park Slope-Gowanus,1900
George D. Kuper & Brothers,10014,444,40.7330192,-74.008231,West Farms-Bronx River,1910
Jackson Marine Insurance Company,10011,315,40.733505,-73.997734,Melrose South-Mott Haven North,1900
Richard Dongan,10014,1522,40.7337256,-74.005388,Hunters Point-Sunnyside-West Maspeth,1900
Tillingham G. Tompkins,10011,460,40.7343894,-73.997123,Schuylerville-Throgs Neck-Edgewater Park,1899
Adam Happel,10014,3609,40.7344554,-74.000656,Oakland Gardens,1900
Not determined,10014,500,40.7347588,-74.002364,Bronxdale,1900
Joseph Whitehead,10003,510,40.735089,-73.984883,East Concourse-Concourse Village,1940
Charles Peck,10003,278,40.735178,-73.985069,Murray Hill-Kips Bay,1900
James S. Huggins,10011,1577,40.7352371,-73.995307,Hudson Yards-Chelsea-Flatiron-Union Square,1920
Polstein Brothers,10014,422,40.7352665,-74.002163,park-cemetery-etc-Brooklyn,1910
James Snodgrass,10014,324,40.7355099,-74.005082,Chinatown,1910
Not determined,10014,282,40.7358981,-74.002907,Rugby-Remsen Village,1899
Henry Joel & Louisa Davies Scudder,10003,418,40.7359949,-73.987868,Morrisania-Melrose,1980
Jacob G. Dyckman,10014,1564,40.7360871,-74.007738,Port Richmond,1930
Not determined,10014,491,40.7360871,-74.007738,Manhattanville,1899
James Harriot,10014,227,40.7363025,-74.004293,Brownsville,1936
Not determined,10014,270,40.7369435,-74.003505,Stapleton-Rosebank,1910
Not determined,10014,368,40.7369435,-74.003505,Crown Heights South,1910
Charles Frank,10014,518,40.7371692,-74.003871,Lenox Hill-Roosevelt Island,1910
Jacob Margovitz,10014,425,40.7377529,-74.002953,Yorkville,1910
George C. Byrne,10011,381,40.7386575,-74.001502,Williamsbridge-Olinville,1900
David Hoadly,10011,402,40.7386818,-73.993247,Belmont,1920
Richard Cunningham,10014,333,40.7386891,-74.004946,Belmont,1950
Caroline Brinley,10003,407,40.7389117,-73.988325,Hunters Point-Sunnyside-West Maspeth,1899
James Gilmore,10014,302,40.7389743,-74.007389,Clinton,1901
William Johnson,10010,311,40.7413771,-73.993398,Springfield Gardens North,1901
Not determined,10010,425,40.7442151,-73.989376,Schuylerville-Throgs Neck-Edgewater Park,1960
Eliza Stuart,10011,507,40.7444159,-74.001294,Hunters Point-Sunnyside-West Maspeth,1905
The Witt Treena Realty Company,10001,1070,40.7452087,-73.98913,Bellerose,1850
John I. Collins,10011,749,40.745262,-74.004499,Gramercy,1940
City Housing Corporation / Alexander Bing,11104,1715,40.746156,-73.917282,Ridgewood,1910
New York World's Fair Corporation,11355,751,40.7465759,-73.84507,East Concourse-Concourse Village,1925
Spencer Root & John Rust,11101,390,40.7471676,-73.947115,Chinatown,1939
City Housing Corporation / Alexander Bing,11104,414,40.7474451,-73.91526,Upper West Side,1891
City Housing Corporation / Alexander Bing,11104,319,40.7479228,-73.916011,Belmont,1925
Kennedy & Haw,10016,462,40.7480957,-73.979056,Baisley Park,1925
City Housing Corporation / Alexander Bing,11104,378,40.7481309,-73.916919,Gravesend,1901
City Housing Corporation / Alexander Bing,11104,361,40.7482178,-73.915972,Claremont-Bathgate,1925
J. H. Kleinman Construction Corporation,11372,452,40.7485022,-73.887139,Hudson Yards-Chelsea-Flatiron-Union Square,1925
City Housing Corporation / Alexander Bing,11104,723,40.7487799,-73.916357,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1935
City Housing Corporation / Alexander Bing,11377,515,40.7488642,-73.914285,Williamsburg,1925
City Housing Corporation / Alexander Bing,11104,864,40.7493952,-73.916009,Washington Heights North,1941
Martin & Arthur Zinn,10001,629,40.7499007,-74.005658,Ozone Park,1920
Queensboro Corporation,11372,313,40.7510762,-73.879465,East Harlem South,1911
Acapulco Realty Corporation,11372,322,40.7514288,-73.880687,Williamsbridge-Olinville,1930
C. McShane,11372,207,40.7517715,-73.880423,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1990
Queensboro Corporation,11372,423,40.7527775,-73.880304,Washington Heights North,1930
Jackson Heights Apartment Corporation,11372,411,40.7528852,-73.881433,Richmond Hill,0
Queensboro Corporation,11372,3797,40.7529403,-73.882209,Madison,1930
Queensboro Corporation,11372,304,40.7537046,-73.880017,Murray Hill-Kips Bay,1930
Manufacturers Trust Company,10036,3214,40.7539078,-73.980785,Borough Park,1930
